locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Dukanet el Ketif (Kairouan, Al-Bahayr)",LipsonReichNature2025,1,"10,000-5,000 BP",5,10,0.24726787209510803,35.8515696,9.5494781,africa,4147.346798636278
"Blätterhöhle Cave (Nordrhein-Westfalen, Arnsberg, Hagen-Kreisfreie Stadt)",LipsonReichNature2017; OlaldeReichNature2026,1,"10,000-5,000 BP",4,6,0.24807624518871307,51.358333,7.551111,europe,5638.448752208865
"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre Arrondissement)",RivollatHaakNature2023; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",115,4192,0.24826353788375854,47.97000000000002,3.560000000000001,europe,5775.545346132505
"Holm of Papa Westray North (Scotland, Orkney)",AkbariReichNature2026,1,"10,000-5,000 BP",4,6,0.24871113896369934,59.353914,-2.8733368,europe,6649.80893095644
"Les Bréguières (Provence-Alpes-Côte d'Azur Region, Alpes-Maritimes Department, Grasse Arrondissement)",RivollatHaakSciAdv2020,1,"10,000-5,000 BP",5,10,0.2493383139371872,43.7,6.99,europe,5446.202685589407
"Lopatino (Samara Oblast, Krasnoyarsky District, Lopatino Village)",AkbariReichNature2026; LazaridisReichNature2025; MathiesonReichNature2015,1,"10,000-5,000 BP",4,6,0.24936461448669434,53.639689,50.664314,asia,5515.769234562432
"Khvalynsk-2 (Saratov Oblast, Khvalynsky District, Khvalynsk Town)",AkbariReichNature2026; LazaridisReichNature2025; MathiesonReichNature2015,1,"10,000-5,000 BP",26,310,0.24949844181537628,52.353369500000014,48.0783667,asia,5296.976537499961
"Fleury-sur-Orne (Normandie Region, Calvados Department, Caen Arrondissement)",RivollatDeguillouxPNAS2022; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",14,68,0.24952301383018494,49.190000000000005,-0.37999999999999995,europe,6087.542597446776
"Hazleton North (England, Gloucestershire, Cheltenham)",AkbariReichNature2026; FowlerReichNature2021,1,"10,000-5,000 BP",35,554,0.24966304004192352,51.86121099999999,-1.8830109999999998,europe,6262.426711601375
"Szentpéterszeg-Körtvélyes-2 (Hajdú-Bihar County, Berettyóújfalu)",GelabertReichNatHumBehav2024,1,"10,000-5,000 BP",5,9,0.24966534972190857,47.254147,21.610127,europe,4560.39067002146
"Isbister (Scotland, Orkney Islands, South Ronaldsay, Liddle)",AkbariReichNature2026; OlaldeReichNature2018,1,"10,000-5,000 BP",5,10,0.24984866380691528,58.744956,-2.916882,europe,6618.781582422096
"Cueva de Chaves (Aragón, Huesca, Bastarás)",Villalba-MoucoHaakCurrBiol2019,1,"10,000-5,000 BP",4,5,0.2499636709690094,42.215129,-0.138457,europe,6031.393381749291
"Hjelmars rör (Västra Götalands län, Falköping, Falbygden)",SeersholmSikoraNature2024,1,"10,000-5,000 BP",14,38,0.2499832808971405,58.16970000000001,13.578000000000001,europe,5862.166569045385
"Frälsegården (Västra Götalands län, Falköping, Falbygden)",SeersholmSikoraNature2024,1,"10,000-5,000 BP",15,86,0.2500142753124237,58.1644,13.4547,europe,5865.77532211492
