locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Itkul (Bolshoy-Mys) (Altai Krai, Zonalny District, Vershinino Village)",AllentoftWillerslevNature2024; ZengReichNature2025,1,"10,000-5,000 BP",8,25,0.238158,52.721373,84.647693,asia,7434.7
"Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)",AllentoftWillerslevNature2024; ZengReichNature2025,1,"10,000-5,000 BP",8,28,0.238714,55.756653,74.314006,asia,6875.3
"Firsovo-11 (Altai Krai, Pervomaysky District, Firsovo Village)",ZengReichNature2025,1,"10,000-5,000 BP",10,45,0.239195,53.34101,83.93039,asia,7398.4
"Chumysh-Perekat-1 (Altai Krai, Zalesovsky District)",ZengReichNature2025,1,"10,000-5,000 BP",5,10,0.239628,53.82419444,84.61233333,asia,7451.9
"Sosnovy-Mys (Irkutsk Oblast, Ust-Ilimsky District, Kata, Sosnovy Island)",AllentoftWillerslevNature2024; RohlandReichGenomeRes2022; ZengReichNature2025,1,"10,000-5,000 BP",4,6,0.239671,58.7562,102.6317,asia,8596.9
"Vengerovo-2 (Novosibirsk Oblast, Vengerovsky District)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",8,18,0.239812,55.707,76.783,asia,7018.0
"Tuzovskie-Bugry-1 (Vasino-5) (Altai Krai, Pervomaysky District)",WangPosthCurrBiol2023; ZengReichNature2025,1,"10,000-5,000 BP",19,168,0.240033,53.15077399999999,83.822416,asia,7387.7
"Oberbipp Horgen (Bern, Wangen)",FurtwänglerHerbigBioTechniques2020,1,"10,000-5,000 BP",11,40,0.240317,47.262067,7.659835,europe,5458.4
"La Mina (Castilla y León, Soria, Alcubilla de las Peñas)",AkbariReichNature2026; MathiesonReichNature2015,1,"10,000-5,000 BP",4,6,0.241776,41.2522,-2.32622,europe,6225.9
"Vilnianka (Zaporizhia Oblast, Zaporizhia District, Vilniansk Municipality)",AkbariReichNature2026; AllentoftWillerslevNature2024; MathiesonReichNature2018,1,"10,000-5,000 BP",15,63,0.242141,47.954299999999996,35.3893,europe,4668.1
"Ekaterinovskiy-Mys (Samara Oblast, Bezenchuksky District, Ekaterinovka Village)",AkbariReichNature2026; LazaridisReichNature2025,1,"10,000-5,000 BP",37,528,0.242158,53.08561099999999,49.465911,asia,5418.1
"Golubaya-Krinitsa (Voronezh Oblast, Rossoshansky District, Golubaya Krinitsa Village)",AllentoftWillerslevNature2024; LazaridisReichNature2025,1,"10,000-5,000 BP",10,24,0.242675,50.091352799999996,39.8945111,asia,4800.8
"Yasynuvatka (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka Municipality)",MattilaJakobssonCommunBiol2023; NikitinReichNature2025,1,"10,000-5,000 BP",11,18,0.243417,48.121309,35.09017699999999,europe,4668.6
"Ust'-Belaya (Irkutsk Oblast, Usolskiy District, Belaya River Mouth of the)",FlegontovSchiffelsNature2019; ZengReichNature2025,1,"10,000-5,000 BP",5,10,0.243951,52.9169,103.657,asia,8708.5
"Ganj Dareh (Hamadan Province, Tuyserkan)",LazaridisReichNature2016; LazaridisReichNature2025; NarasimhanReichScience2019,1,"10,000-5,000 BP",8,21,0.245133,34.45,48.116,asia,4127.8
"Deriivka (Kirovohrad Oblast, Oleksandriia District, Onufriivka Municipality)",AkbariReichNature2026; LazaridisReichNature2025; MathiesonReichNature2018; MattilaJakobssonCommunBiol2023; NikitinReichNature2025,1,"10,000-5,000 BP",33,456,0.245393,48.91422,33.76493,europe,4688.0
"Cova de Els Trocs (Aragón, Huesca, Bisaurri)",AkbariReichNature2026; MathiesonReichNature2015; Villalba-MoucoHaakCurrBiol2019,1,"10,000-5,000 BP",7,21,0.245774,42.5,0.5,europe,5976.1
"Dukanet el Ketif (Kairouan, Al-Bahayr)",LipsonReichNature2025,1,"10,000-5,000 BP",5,10,0.247268,35.8515696,9.5494781,africa,4147.3
"Blätterhöhle Cave (Nordrhein-Westfalen, Arnsberg, Hagen-Kreisfreie Stadt)",LipsonReichNature2017; OlaldeReichNature2026,1,"10,000-5,000 BP",4,6,0.248076,51.358333,7.551111,europe,5638.4
"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre Arrondissement)",RivollatHaakNature2023; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",115,4192,0.248264,47.97000000000002,3.560000000000001,europe,5775.5
"Holm of Papa Westray North (Scotland, Orkney)",AkbariReichNature2026,1,"10,000-5,000 BP",4,6,0.248711,59.353914,-2.8733368,europe,6649.8
"Les Bréguières (Provence-Alpes-Côte d'Azur Region, Alpes-Maritimes Department, Grasse Arrondissement)",RivollatHaakSciAdv2020,1,"10,000-5,000 BP",5,10,0.249338,43.7,6.99,europe,5446.2
"Lopatino (Samara Oblast, Krasnoyarsky District, Lopatino Village)",AkbariReichNature2026; LazaridisReichNature2025; MathiesonReichNature2015,1,"10,000-5,000 BP",4,6,0.249365,53.639689,50.664314,asia,5515.8
"Khvalynsk-2 (Saratov Oblast, Khvalynsky District, Khvalynsk Town)",AkbariReichNature2026; LazaridisReichNature2025; MathiesonReichNature2015,1,"10,000-5,000 BP",26,310,0.249498,52.353369500000014,48.0783667,asia,5297.0
"Fleury-sur-Orne (Normandie Region, Calvados Department, Caen Arrondissement)",RivollatDeguillouxPNAS2022; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",14,68,0.249523,49.190000000000005,-0.37999999999999995,europe,6087.5
"Hazleton North (England, Gloucestershire, Cheltenham)",AkbariReichNature2026; FowlerReichNature2021,1,"10,000-5,000 BP",35,554,0.249663,51.86121099999999,-1.8830109999999998,europe,6262.4
"Szentpéterszeg-Körtvélyes-2 (Hajdú-Bihar County, Berettyóújfalu)",GelabertReichNatHumBehav2024,1,"10,000-5,000 BP",5,9,0.249665,47.254147,21.610127,europe,4560.4
"Isbister (Scotland, Orkney Islands, South Ronaldsay, Liddle)",AkbariReichNature2026; OlaldeReichNature2018,1,"10,000-5,000 BP",5,10,0.249849,58.744956,-2.916882,europe,6618.8
"Cueva de Chaves (Aragón, Huesca, Bastarás)",Villalba-MoucoHaakCurrBiol2019,1,"10,000-5,000 BP",4,5,0.249964,42.215129,-0.138457,europe,6031.4
"Hjelmars rör (Västra Götalands län, Falköping, Falbygden)",SeersholmSikoraNature2024,1,"10,000-5,000 BP",14,38,0.249983,58.16970000000001,13.578000000000001,europe,5862.2
"Frälsegården (Västra Götalands län, Falköping, Falbygden)",SeersholmSikoraNature2024,1,"10,000-5,000 BP",15,86,0.250014,58.1644,13.4547,europe,5865.8
"Gorzsa Cukormajor (Csongrád-Csanád County, Hódmezővásárhely)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",7,9,0.250068,46.36899999999999,20.424000000000003,europe,4550.8
"Ansarve (Gotland County, Tofta area)",Sánchez-QuintoJakobssonPNAS2019,1,"10,000-5,000 BP",5,9,0.250187,57.509,18.14,europe,5664.2
"Derenburg-Meerenstieg-2 (Sachsen-Anhalt, Sachsen-Anhalt, Harz)",ChildebayevaHaakMolBiolEvol2022,1,"10,000-5,000 BP",32,492,0.250348,51.87,10.91,europe,5472.7
"Mandubi Zelaia (Basque Country, Gipuzkoa, Ezkio-Itsaso)",OlaldeReichScience2019,1,"10,000-5,000 BP",5,10,0.250529,43.085823,-2.251197,europe,6193.9
"Berezhnovka-2 (Volgograd Oblast, Nikolayevsky District, Berezhnovka Village)",LazaridisReichNature2025,1,"10,000-5,000 BP",4,6,0.250654,50.303869,45.784869,asia,5018.9
"Rössberga (Götaland, Västergötland)",MalmströmJakobssonProcBiolSci2019; SeersholmSikoraNature2024,1,"10,000-5,000 BP",17,37,0.250666,58.183333,13.65,europe,5861.0
"Yunatsite (Pazardzhik Province, Pazardzhik Municipality)",MathiesonReichNature2018; PenskeHaakNature2023,1,"10,000-5,000 BP",19,168,0.25081,42.232226999999995,24.262688000000004,europe,4038.2
"Menteşe (Marmara, Bursa, Yenişehir)",LazaridisReichNature2025; LazaridisReichScience2022; MathiesonReichNature2015,1,"10,000-5,000 BP",5,8,0.250818,40.26,29.65,asia,3593.3
"Mérnöki-telep (Tolna County, Szekszárd)",AkbariReichNature2026; LipsonReichNature2017; MathiesonReichNature2015,1,"10,000-5,000 BP",5,10,0.250892,46.208562,18.700047,europe,4644.2
"Grotte-du-Rouquet (Occitanie Region, Aude Department, Narbonne Arrondissement, La Clape)",Seguin-OrlandoOrlandoCurrBiol2021,1,"10,000-5,000 BP",6,15,0.25097,43.177669,3.062455,europe,5762.9
"Schwetzingen (Baden-Württemberg, Karlsruhe, Rhein-Neckar-Kreis)",RivollatHaakSciAdv2020,1,"10,000-5,000 BP",10,11,0.251079,49.39,8.569999999999999,europe,5476.4
"Balatonlelle-Felső-Gamász (Somogy County, Fonyód)",GerberSzécsényi-NagyMolBiolEvol2023; LipsonReichNature2017,1,"10,000-5,000 BP",5,5,0.251125,46.78469,17.731714,europe,4741.6
"Tiszadob-Ó-Kenéz (Szabolcs-Szatmár-Bereg County, Tiszavasvári)",LipsonReichNature2017,1,"10,000-5,000 BP",4,6,0.251139,48.00363,21.17651,europe,4646.1
