master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2
PB675,GLN227,PB675.SG,GLN227.AG.SG,35539,0.138974,0.138974,0.138974,CassidyNature2020,RivollatNature2023,"Parknabinnia CL153, Context 397, Find 675.02",GLN227,"3362-3102 calBCE (4527±27 BP) [R_combine: (4394±35 BP, UBA-35064;), (4707±42 BP, UBA-39194)]",5300-3900 BCE,Ireland_MN.SG,France_N.AG.SG,Parknabinnia (County Clare),"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Ireland,France
VLASA7,GLN210,VLASA7.SG,GLN210.AG.SG,34214,0.139007,0.139007,0.139007,MarchiExcoffierCell2022,RivollatNature2023,"(Vlasac, burial 31)",GLN210,"7456-7053 calBCE (8196±69 BP, [FRE:7707±93 BP], AA-57777)",5300-3900 BCE,Serbia_IronGates_Mesolithic.SG,France_N.AG.SG,"Vlasac (Bor District, Majdanpek Municipality, Boljetin)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Serbia,France
GLN210,atp002,GLN210.AG.SG,atp002.SG,33271,0.13901,0.13901,0.13901,RivollatNature2023,ValdioseraPNAS2018,GLN210,ATP2,5300-3900 BCE,"2900-2675 calBCE (4210±30 BP, Beta-386394)",France_N.AG.SG,Spain_C.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","El Portalón Cave (Castilla y León, Burgos, Atapuerca)",France,Spain
SB604,GLN210,SB604.SG,GLN210.AG.SG,31160,0.139024,0.139024,0.139024,BraceCurrBio2022,RivollatNature2023,Sk 74,GLN210,"1157-1219 calCE (881±14 BP) [R_combine: (875±34 BP, Wk-16920), (928±32 BP, Wk-16919), (910±30 BP, SUERC-33391), (845±30 BP, SUERC-33282), (850±30 BP, SUERC-33281)]",5300-3900 BCE,England_Medieval_Jewish.SG,France_N.AG.SG,"well shaft (England, Norwich, Chapelfield Shopping Center)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",United Kingdom,France
GLN299,GLN320,GLN299.AG.SG,GLN320.AG,31275,0.139025,0.139025,0.139025,RivollatNature2023,RivollatNature2023,GLN299,GLN320,5300-3900 BCE,5300-3900 BCE,France_N.AG.SG,France_N.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
RKF030,RKF215,RKF030.AG,RKF215.AG,884886,0.13922,0.13922,0.13922,GnecchiRusconeNature2024,GnecchiRusconeNature2024,8A_431/531,RKF215,650-900 CE,580-804 CE,Hungary_LateAvar.AG,Hungary_Avar.AG,"Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)","Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)",Hungary,Hungary
KH150620,GLN210,KH150620.SG,GLN210.AG.SG,34112,0.139306,0.139306,0.139306,ImmelCommBiol2021,RivollatNature2023,NT148,GLN210,"3344-3094 calBCE (4491±25 BP, KIA-53047)",5300-3900 BCE,Germany_Wartberg_LN_brother.KH150622.KH150623.SG,France_N.AG.SG,"Niedertiefenbach (Rheinland-Pfalz, Koblenz, Rhein-Lahn-Kreis)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Germany,France
GLN227,atp002,GLN227.AG.SG,atp002.SG,34493,0.139391,0.139391,0.139391,RivollatNature2023,ValdioseraPNAS2018,GLN227,ATP2,5300-3900 BCE,"2900-2675 calBCE (4210±30 BP, Beta-386394)",France_N.AG.SG,Spain_C.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","El Portalón Cave (Castilla y León, Burgos, Atapuerca)",France,Spain
Pta08,GLN227,Pta08.SG,GLN227.AG.SG,32847,0.139404,0.139404,0.139404,ClementeCell2021,RivollatNature2023,Pta08,GLN227,2600-2000 BCE,5300-3900 BCE,Greece_Crete_Kephala_Petras.SG,France_N.AG.SG,"Kephala Petras Siteias (eastern Crete, Petras)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Greece,France
GLN227,I2520,GLN227.AG.SG,I2520.SG,34871,0.139428,0.139428,0.139428,RivollatNature2023,RohlandMallickGenomeResearch2022 (deep shotgun version of individual originally reported in MathiesonNature2018),GLN227,G5 (Grave 5),5300-3900 BCE,"3331-3025 calBCE (4458±18 BP) [R_combine: (4470±25 BP, PSUAMS-1814), (4445±25 BP, PSUAMS-8955)]",France_N.AG.SG,Bulgaria_Dzhulyunitsa_EBA.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Dzhulyunitsa (Veliko Tarnovo province, Lyaskovets municipality)",France,Bulgaria
2H10,GLN227,2H10.SG,GLN227.AG.SG,35327,0.13944,0.13944,0.13944,SeguinOrlandoCurrBio2021,RivollatNature2023,2H10_Ages_2_6342,GLN227,"3341-3098 calBCE (4495±20 BP, UCAIMS-224907)",5300-3900 BCE,France_MontAime_MLN.SG,France_N.AG.SG,"Mont-Aimé-hypogée-2 (Grand Est Region, Marne Department, Épernay arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
KH150204_KH150634,GLN227,KH150204_KH150634.SG,GLN227.AG.SG,35146,0.139447,0.139447,0.139447,ImmelCommBiol2021,RivollatNature2023,KH150204_KH150634,GLN227,"3352-3099 calBCE (4507±25 BP, KIA-53051)",5300-3900 BCE,Germany_Wartberg_LN.SG,France_N.AG.SG,"Niedertiefenbach (Rheinland-Pfalz, Koblenz, Rhein-Lahn-Kreis)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Germany,France
Bar25,GLN317,Bar25.SG,GLN317.AG.SG,34497,0.139519,0.139519,0.139519,MarchiExcoffierCell2022,RivollatNature2023,M10-455(BH43347(lot.1856)),GLN317,"6435-6257 calBCE (7506±27 BP, MAMS-246043)","4786-4547 calBCE (5815±45 BP, Lyon-4449 )",Turkey_Marmara_Barcin_N.SG,France_N.AG.SG,"Barcın-Höyük (Bursa, Yenişehir)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Turkey,France
