master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2,annotation,notes
I7337,NEO243,I7337.AG,NEO243.SG,45061,0.108164,0.10533,0.111066,FlegontovNature2019,SikoraNature2019,Mos112 (Specimen 5b),NEO243,"620-980 calCE (2055±15 BP, PSUAMS-5328)","376-119 calBCE (2186±35 BP, UBA-34051)",Russia_Ekven_OldBeringSea.AG,Russia_Ekven_OldBeringSea.SG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.46034,66.121383,-170.46034,diff_pub;unidentified_in_pub,
YCH033,YCH054,YCH033_d.AG,YCH054.AG,149876,0.108616,0.107051,0.110202,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611,same_pub;identified_in_pub_as_identical_twins,
YCH033,YCH054,YCH033_d.AG,YCH054_d.AG,38552,0.108866,0.105796,0.112014,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611,same_pub;identified_in_pub_as_identical_twins,
I7348,NEO250,I7348.AG,NEO250.SG,224309,0.109924,0.108636,0.111225,FlegontovNature2019,SikoraNature2019,"Mos96 (Specimen 28, 164)",NEO250,"630-860 calCE (2090±20 BP, PSUAMS-5478)","354-51 calBCE (2145±36 BP, UBA-34058)",Russia_Ekven_OldBeringSea.AG,Russia_Ekven_OldBeringSea.SG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.46034,66.121383,-170.46034,diff_pub;unidentified_in_pub,
YCH033,YCH054,YCH033.AG,YCH054_d.AG,118825,0.110103,0.108336,0.111896,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611,same_pub;identified_in_pub_as_identical_twins,
YCH033,YCH054,YCH033.IM,YCH054.AG,33975,0.110199,0.106913,0.113573,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.IM,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611,same_pub;identified_in_pub_as_identical_twins,
NEO242,I7332,NEO242.SG,I7332.AG,168391,0.110517,0.109028,0.112023,SikoraNature2019,FlegontovNature2019 merged with HarneyCheronetGenomeResearch2021,NEO242,"Mos102 [(Specimen 4, 154) | (MDE, FR15120062) | (WTR, FR15120033)]","122-303 calCE (1846±28 BP, UBA-34050)","690-1070 calCE (1945±15 BP, PSUAMS-5324)",Russia_Ekven_OldBeringSea.SG,Russia_Ekven_OldBeringSea.AG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.46034,66.121383,-170.46034,diff_pub;unidentified_in_pub,
I7340,NEO253,I7340.AG,NEO253.SG,51891,0.110983,0.108309,0.113714,FlegontovNature2019,SikoraNature2019,"Mos89 (Specimen 12, 159)",NEO253,"810-1050 calCE (1895±15 BP, PSUAMS-5474)","125-330 calCE (1822±35 BP, UBA-34061)",Russia_Ekven_OldBeringSea.AG,Russia_Ekven_OldBeringSea.SG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.46034,66.121383,-170.46034,diff_pub;unidentified_in_pub,
I7342,I7343,NEO248.SG,I20756.AG,448436,0.112997,0.112074,0.113927,SikoraNature2019,HarneyCheronetGenomeResearch2021 (new version of data from FlegontovNature2019),"Mos91 (Specimen 10, 156)","Mos92 [(Specimen 167, 189, MDE, FR15120017) | (Specimen 167, 189, WTR, FR15120053)]","348 calBCE - 24 calCE (2091±47 BP, UBA-34056)","970-1210 calCE (1760±15 BP, PSUAMS-5476)",Russia_Ekven_OldBeringSea.SG,Russia_Ekven_OldBeringSea.AG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.46034,66.121383,-170.46034,diff_pub;unidentified_in_pub,
UKY001,KPT002,UKY001.AG,KPT002_v62.SG,227435,0.113742,0.112444,0.115054,YuCell2020,YuCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","12100-11858 calBCE (12065±37 BP) [R_combine: (11505±100 BP), (12136±54 BP), (12151±58 BP)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_EastSiberia_UstKyakhta_UP_dup.KPT002.AG,Russia_Siberia_Lena_EBA.SG,"Ust'-Kyakhta (Buryatia, Kyakhtinsky District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,50.534142,106.274289,53.044528,105.510583,same_pub;diff_site;unidentified_in_pub;identified_in_aadr_group_id;potential_aadr_skeletal_code_match,
I5407,NEO669,I5407.AG,NEO669.SG,202304,0.113834,0.112457,0.115225,MathiesonNature2018,AllentoftNature2024,"LEPI_126 (Lepenski-Vir, burial 126)","CGG_2_018594 (F1509, Lepenski-Vir, burial 126)",6300-5800 BCE,8300-7400 BCE,Serbia_IronGates_Mesolithic.AG,Serbia_IronGates_Mesolithic_dup.I5407.SG,"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)","Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)",Serbia,Serbia,44.552924,22.027563,44.552924,22.027563,diff_pub;identified_in_pub;identified_in_aadr_group_id;potential_aadr_skeletal_code_match,
I1525,NEO234,I1525.AG,NEO234.SG,31335,0.114377,0.1109,0.117948,FlegontovNature2019,SikoraNature2019,"Mos99 (Specimen 13, 172)",NEO234,"60-450 calCE (2560±20 BP, PSUAMS-1962)","975-801 calBCE (2714±44 BP, UBA-34048)",Russia_Uelen_OldBeringSea.AG,Russia_Uelen_IA.SG,"Uelen (Chukotka Autonomous Okrug, Chukotsky District)","Uelen (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.161126,-169.8223,66.161126,-169.8223,diff_pub;unidentified_in_pub,
NEO539,MNN006,NEO539.SG,MNN006.AG,165234,0.117258,0.115716,0.118818,AllentoftNature2024,PosthYuNature2023,"CGG_2_018397 (Minino-1, burial 20)","(Minino-1, burial 20)","8799-8623 calBCE (9428±32 BP, OxA-16198; OxA-16199; UBA-40062)","8799-8625 calBCE (9431±31 BP, MAMS-39009)",Russia_Minino_Mesolithic.SG,Russia_Minino_Mesolithic.AG,"Minino 1 (Vologda Oblast, Vologda District, Minino Village)","Minino 1 (Vologda Oblast, Vologda District, Minino Village)",Russia,Russia,59.42,39.3,59.42,39.3,diff_pub;unidentified_in_pub,
NEO73,I1960,NEO73.SG,I1960.DG,618834,0.117414,0.116614,0.118218,AllentoftNature2024,RohlandMallickGenomeResearch2022 (deep shotgun version of individual originally reported in NarasimhanPattersonScience2019),"CGG_2_015790 (IPOS_RAS_116-2, Mergen-6, burial 1)","Tyumen50 (Kurgan 6, Mergen 6)","6370-6034 calBCE (7317±62 BP, UBA-39946)","6329-6079 calBCE (7343±29 BP) [R_combine: (7330±40 BP, Poz-82198), (7355±40 BP, OxA-33489)]",Russia_Ob_EN_KoshkinoBoborykino.SG,Russia_Tyumen_HG.DG,"Mergen-6 (Tyumen Oblast, Ishimsky District)","Mergen-6 (Tyumen Oblast, Ishimsky District)",Russia,Russia,56.0362222,69.3388611,56.0362222,69.3388611,diff_pub;identified_in_pub;potential_aadr_skeletal_code_match,
I1960,NEO73,I1960.AG,NEO73.SG,498081,0.118545,0.11765,0.119446,NarasimhanPattersonScience2019,AllentoftNature2024,"Tyumen50 (Kurgan 6, Mergen 6)","CGG_2_015790 (IPOS_RAS_116-2, Mergen-6, burial 1)","6329-6079 calBCE (7343±29 BP) [R_combine: (7330±40 BP, Poz-82198), (7355±40 BP, OxA-33489)]","6370-6034 calBCE (7317±62 BP, UBA-39946)",Russia_Tyumen_HG.AG,Russia_Ob_EN_KoshkinoBoborykino.SG,"Mergen-6 (Tyumen Oblast, Ishimsky District)","Mergen-6 (Tyumen Oblast, Ishimsky District)",Russia,Russia,56.0362222,69.3388611,56.0362222,69.3388611,diff_pub;identified_in_pub;potential_aadr_skeletal_code_match,
