master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,site_mismatches,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,annotation,notes
I7337,NEO243,I7337.AG,NEO243.SG,46203,4883.0,0.105686,0.102897,0.108525,FlegontovNature2019,SikoraNature2019,Mos112 (Specimen 5b),NEO243,"620-980 calCE (2055±15 BP, PSUAMS-5328)","376-119 calBCE (2186±35 BP, UBA-34051)",Russia_Ekven_OldBeringSea.AG,Russia_Ekven_OldBeringSea.SG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
YCH033,YCH054,YCH033_d.AG,YCH054.AG,154299,16352.0,0.105976,0.104444,0.107523,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,same_pub;identified_in_pub_as_identical_twins,
GLN220,GLN319,GLN220.AG.SG,GLN319.AG,34784,3696.0,0.106256,0.103036,0.109542,RivollatNature2023,RivollatNature2023,GLN220,GLN319,"4542-4363 calBCE (5635±35 BP, Lyon-4680 )","4786-4547 calBCE (5815±45 BP, Lyon-4449)",France_N.AG.SG,France_N_1d.rel.GLN241.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,gurgy;same_pub,
YCH033,YCH054,YCH033.IM,YCH054.AG,35383,3766.0,0.106435,0.10324,0.109695,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.IM,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,same_pub;identified_in_pub_as_identical_twins,
YCH033,YCH054,YCH033_d.AG,YCH054_d.AG,39456,4229.0,0.107183,0.104147,0.110277,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,same_pub;identified_in_pub_as_identical_twins,
I7348,NEO250,I7348.AG,NEO250.SG,230490,24715.0,0.107228,0.105968,0.108498,FlegontovNature2019,SikoraNature2019,"Mos96 (Specimen 28, 164)",NEO250,"630-860 calCE (2090±20 BP, PSUAMS-5478)","354-51 calBCE (2145±36 BP, UBA-34058)",Russia_Ekven_OldBeringSea.AG,Russia_Ekven_OldBeringSea.SG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
NEO242,I7332,NEO242.SG,I7332.AG,173491,18652.0,0.10751,0.106056,0.108977,SikoraNature2019,FlegontovNature2019 merged with HarneyCheronetGenomeResearch2021,NEO242,"Mos102 [(Specimen 4, 154) | (MDE, FR15120062) | (WTR, FR15120033)]","122-303 calCE (1846±28 BP, UBA-34050)","690-1070 calCE (1945±15 BP, PSUAMS-5324)",Russia_Ekven_OldBeringSea.SG,Russia_Ekven_OldBeringSea.AG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
YCH033,YCH054,YCH033.AG,YCH054_d.AG,122237,13147.0,0.107553,0.105822,0.109304,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,same_pub;identified_in_pub_as_identical_twins,
I7340,NEO253,I7340.AG,NEO253.SG,53077,5777.0,0.108842,0.106204,0.111522,FlegontovNature2019,SikoraNature2019,"Mos89 (Specimen 12, 159)",NEO253,"810-1050 calCE (1895±15 BP, PSUAMS-5474)","125-330 calCE (1822±35 BP, UBA-34061)",Russia_Ekven_OldBeringSea.AG,Russia_Ekven_OldBeringSea.SG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
GLN256,GLN261,GLN256.AG.SG,GLN261.AG,32478,3551.0,0.109336,0.105961,0.11278,RivollatNature2023,RivollatNature2023,GLN256,GLN261,5300-3900 BCE,5300-3900 BCE,France_N.AG.SG,France_N_father.or.son.GLN245B.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,gurgy;same_pub,
