individual_id1,individual_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2
NEO83,I6963,NEO83.SG,I6963.SG,865670,0.122276,0.121588,0.122968,AllentoftWillerslevNature2024,ZengReichNature2025,"CGG_2_015800 (IPOS_RAS_78-29, Borovyanka-17, burial 36B)",TYUMEN47 (78-29),"4352-4174 calBCE (5433±37 BP, UBA-39955)","4320-4052 calBCE (5340±30 BP, PSUAMS-3929)",Russia_Omsk_Eneolithic,Russia_Omsk_Eneolithic_Chernoozersky-2,"Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)","Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)",Russia,Russia,55.756653,74.314006,55.756653,74.314006
H393-2,CZY4657,H393-2.TW,CZY4657.AG,141388,0.122507,0.120808,0.124226,FangWangCellRep2025,LiuFuNatComm2025,H393-2,CZY4657,2021-1533 calBCE (3459±92 BP),1525-1416 calBCE,China_Shandong_Chengziya_EBA,China_Shandong_Chengziya_Yueshi,"Chengziya (Shandong, Jinan City, Zhangqiu District)","Chengziya (Shandong, Jinan City, Zhangqiu District)",China,China,36.681,117.599,36.681,117.599
I8501,NEO201,I8501.AG,NEO201.SG,447509,0.122668,0.12171,0.123632,ZengReichNature2025,AllentoftWillerslevNature2024,exc. 4; gr. 7 (MOS281),"CGG_2_017444|N27 (Fofonovo, excavation 6, burial 7(5))","5886-5728 calBCE (6925±30 BP, PSUAMS-14539)","5887-5664 calBCE (6883±50 BP, UBA-40010)",Russia_Buryatia_N,Russia_Buryatia_EN_Kitoi,"Fofonovo (Buryatia, Kabansky District, Fofonovo Village)","Fofonovo (Buryatia, Kabansky District, Fofonovo Village)",Russia,Russia,52.048428,106.766261,52.048428,106.766261
YCH009,YCH017,YCH009.AG,YCH017_alt1.AG,439500,0.122922,0.121954,0.123896,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH009,YCH049,550-1200 CE,550-1200 CE,Mexico_LateClassic,Mexico_LateClassic,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611
I8295,NEO230,I8295.AG,NEO230.SG,73016,0.123055,0.120692,0.125458,FlegontovSchiffelsNature2019,SikoraWillerslevNature2019,Specimen 32 (Mos105),NEO230,"2620-2480 calBCE (4035±20 BP, PSUAMS-5333)","3022-2789 calBCE (4298±39 BP, UBA-33760)",Russia_Irkutsk_N_Angara-o,Russia_Chukotka_LN_EBA,"Ust'-Belaya (Irkutsk Oblast, Usolskiy District, Belaya River Mouth of the)","Ust'-Belaya (Chukotka) (Chukotka Autonomous Okrug, Anadyrsky District)",Russia,Russia,52.9169,103.657,65.485206,173.285776
I8450,MUR007,I8450.AG,MUR007.AG,298850,0.123457,0.122282,0.124641,ZengReichNature2025,PosthKrauseNature2023,Murzikha II B104 (Murzikha II; B104),"(Murzikha-2, burial 104)","4681-4463 calBCE (5730±30 BP, PSUAMS-8282)",4550-4400 BCE,Russia_Tatarstan_Eneolithic,Russia_Tatarstan_Eneolithic,"Murzikha-2 (Tatarstan, Alexeyevsky District, Mokrye Kurnali Village)","Murzikha-2 (Tatarstan, Alexeyevsky District, Mokrye Kurnali Village)",Russia,Russia,55.3419,50.0173,55.3419,50.0173
I10433,Nea2,I10433.AG.SG,Nea2.SG,1149771,0.123595,0.122995,0.124198,MarchiExcoffierCell2022,MarchiExcoffierCell2022,"15 (Burial Infant burial 7, L7 / 0)","15 (Burial Infant burial 7, L7 / 0)","6237-6073 calBCE (7315±40 BP, OxA-35629)","6224-6080 calBCE (7299±25 BP) [R_Combine: (7315±40 BP, OxA-35629), (7290±31 BP, MAMS-24004)]",Greece_NeaNikomedeia_EN,Greece_NeaNikomedeia_EN,"Nea Nikomedeia (Macedonia, Veroia)","Nea Nikomedeia (Macedonia, Veroia)",Greece,Greece,40.60415,22.264918,40.60415,22.264918
I7615,NEO309,I7615.AG,NEO309.SG,72730,0.124254,0.121876,0.126671,ZengReichNature2025,AllentoftWillerslevNature2024,K5P3(B) (Mos120B),CGG_2_018141 (Protoka),"4446-4349 calBCE (5555±20 BP, PSUAMS-4856)","4489-4346 calBCE (5575±36 BP, UBA-40035)",Russia_Novosibirsk_N-1,Russia_Novosibirsk_LN,"Protoka (Novosibirsk Oblast, Kyshtovsky District)","Protoka (Novosibirsk Oblast, Kyshtovsky District)",Russia,Russia,56.4929,76.357,56.4929,76.357
I11003,NEO63,I11003.AG,NEO63.SG,41064,0.124318,0.121162,0.127545,ZengReichNature2025,AllentoftWillerslevNature2024,TGU 3256,"CGG_2_015780 (TSU_3256, Itkul (Bolshoy-Mys), burial 2)",4000-3000 BCE,"5636-5483 calBCE (6656±34 BP, UBA-39940)",Russia_AltaiKrai_N_Bolshemys,Russia_AltaiKrai_LN,"Itkul (Bolshoy-Mys) (Altai Krai, Zonalny District, Vershinino Village)","Itkul (Bolshoy-Mys) (Altai Krai, Zonalny District, Vershinino Village)",Russia,Russia,52.721373,84.647693,52.721373,84.647693
I6835,NEO79,I6835.AG,NEO79.SG,75139,0.12582,0.123468,0.128211,ZengReichNature2025,AllentoftWillerslevNature2024,TYUMEN17 (18-23),"CGG_2_015796 (IPOS_RAS_18-23, Okunevo, N-EBA burials (Okunevo-3,-5,-7), burial 69)",2750-1000 BCE,"3517-3103 calBCE (4591±51 BP, UBA-39951)",Russia_Omsk_EBA_Okunevsky,Russia_Omsk_Eneolithic,"Okunevo burials (Omsk Oblast, Muromtsevsky District, Okunevo Village)","Okunevo burials (Omsk Oblast, Muromtsevsky District, Okunevo Village)",Russia,Russia,56.4576194,74.8751083,56.4576194,74.8751083
