locality,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon
"Obernai (Grand Est Region, Bas-Rhin Department, Sélestat arrondissement)",1,"10,000-5,000 BP",11,55,0.2524261474609375,48.459999999999994,7.480000000000001
"Nitra-Mlynárce (Nitra Region, Nitra District, Nitra)",1,"10,000-5,000 BP",5,6,0.25244125723838806,48.317816,18.049592
"Füzesabony-Gubakút (Heves County, Füzesabony)",1,"10,000-5,000 BP",6,15,0.2526496350765228,47.74794500000001,20.412493
"Polgár-Ferenci-hát (Hajdú-Bihar County, Hajdúnánás)",1,"10,000-5,000 BP",47,983,0.2527174651622772,47.84646400000001,21.14942900000001
"Apc-Berekalya-1 (Heves County, Hatvan)",1,"10,000-5,000 BP",4,6,0.25282520055770874,47.796249,19.681001
"Nitra-Horné-Krškany (Nitra Region, Nitra District, Nitra)",1,"10,000-5,000 BP",50,832,0.25284433364868164,48.283311000000005,18.085484
"Niedertiefenbach (Rheinland-Pfalz, Koblenz, Rhein-Lahn-Kreis)",1,"10,000-5,000 BP",37,654,0.2530393600463867,50.442,8.136000000000003
"Budakalász-Luppa-csárda (Pest County, Szentendre)",1,"10,000-5,000 BP",4,6,0.2530963718891144,47.62094,19.04494
"Veszprém-Jutasi-út (Veszprém County, Veszprém)",1,"10,000-5,000 BP",5,5,0.25316399335861206,47.102645,17.912987
"Potočani (Požega-Slavonia County, Općina Velika)",1,"10,000-5,000 BP",38,576,0.2531664967536926,45.44820000000001,17.638799999999993
"Fossato di Stretto Partana (Sicily, Trapani, Partanna)",1,"10,000-5,000 BP",4,6,0.25319331884384155,37.724,12.916
Primrose Grange (County Sligo),1,"10,000-5,000 BP",9,23,0.2532968819141388,54.2469,-8.55609
"Jentilarri (Basque Country, Gipuzkoa, Enirio-Aralar)",1,"10,000-5,000 BP",4,6,0.25331804156303406,43.0866,-2.2154
"Stuttgart-Mühlhausen-1 (Baden-Württemberg, Stuttgart, Stuttgart-Stadtkreis)",1,"10,000-5,000 BP",18,113,0.25333505868911743,48.78,9.18
"Grotta dell'Uzzo (Sicily, Trapani, San Vito Lo Capo)",1,"10,000-5,000 BP",15,90,0.2533631920814514,38.110099999999996,12.786599999999996
"Anghelu Ruju (Sardinia, Sassari province)",1,"10,000-5,000 BP",7,14,0.25341781973838806,40.626667,8.323056
"Kolín-Šťáralka (Central Bohemian Region, Kolín District)",1,"10,000-5,000 BP",6,10,0.25348156690597534,50.00873000000001,15.23091
"Pusztataskony-Ledence-I (Jász-Nagykun-Szolnok County, Kunhegyes)",1,"10,000-5,000 BP",8,20,0.2536221742630005,47.45925,20.51282
"Makotrasy (Central Bohemian Region, Kladno District)",1,"10,000-5,000 BP",20,190,0.2536766529083252,50.145765999999995,14.221421000000001
"Urziceni (Satu Mare County, Urziceni)",1,"10,000-5,000 BP",43,903,0.2540530264377594,47.7467,22.394999999999996
"Oslonki (Kuyavian-Pomeranian Province, Radziejów County, Osięciny)",1,"10,000-5,000 BP",5,10,0.25435519218444824,52.61,18.8
"Turjányos-dűlő (Pest County, Cegléd)",1,"10,000-5,000 BP",4,6,0.2543991208076477,47.189141,20.004795
Poulnabrone (County Clare),1,"10,000-5,000 BP",12,66,0.25442031025886536,53.048660000000005,-9.140049000000001
"Mont-Aimé-hypogée-2 (Grand Est Region, Marne Department, Épernay arrondissement)",1,"10,000-5,000 BP",6,10,0.2547770142555237,48.858472,3.995887
"Alepotrypa Cave (Peloponnisoy, Diros)",1,"10,000-5,000 BP",4,6,0.2548597455024719,36.6383333,22.3825
"Cabeço da Arruda I (Lisbon, Torres Vedras)",1,"10,000-5,000 BP",4,6,0.25518906116485596,39.110833,-8.663583
"Tell-Kurdu (Hatay, Reyhanlı)",1,"10,000-5,000 BP",6,7,0.25524604320526123,36.329405,36.444255
"Dzhulyunitsa (province Veliko Tarnovo, municipality Lyaskovets)",1,"10,000-5,000 BP",7,21,0.2552812397480011,43.16089,25.88341
Parknabinnia (County Clare),1,"10,000-5,000 BP",11,55,0.2556280791759491,52.985499,-9.111453999999998
"Peki'in (Northern District, Akko)",1,"10,000-5,000 BP",22,197,0.25564712285995483,32.974166999999994,35.33138899999999
"Grotta Continenza (Abruzzo, L'Aquila)",1,"10,000-5,000 BP",7,21,0.2560639977455139,41.958000000000006,13.5445
"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)",1,"10,000-5,000 BP",8,18,0.2568369209766388,44.552924,22.027563
"Malak-Preslavets (province Silistra, municipality Tutrakan, Tsar Samuil)",1,"10,000-5,000 BP",11,35,0.2568630576133728,43.980000000000004,26.4
"Verteba Cave (Ternopil Oblast, Chortkiv District, Bilche-Zolote municipality)",1,"10,000-5,000 BP",20,169,0.25704488158226013,48.7889,25.871500000000005
"Smyadovo (province Shumen, municipality Smyadovo)",1,"10,000-5,000 BP",8,20,0.2571304440498352,43.057778,26.983611
"Arslantepe (Malatya, Battalgazi)",1,"10,000-5,000 BP",18,150,0.2580150365829468,38.381944,38.36111100000001
"Çamlıbel-Tarlası (Çorum, Boğazkale)",1,"10,000-5,000 BP",12,66,0.25820404291152954,40.019745,34.58612900000001
"Ilıpınar (Bursa, Orhangazi)",1,"10,000-5,000 BP",6,9,0.25842398405075073,40.48,29.295999999999996
"Areni-1 (Vayots Dzor Province, Areni Municipality)",1,"10,000-5,000 BP",5,10,0.25882095098495483,39.731573,45.202743
"Dlinnaya-Polyana (Republic of Adygea, Maykopsky District, Klady site)",1,"10,000-5,000 BP",4,6,0.2591533660888672,44.385019,40.394588
"Majaky (Odessa Oblast, Odesa District)",1,"10,000-5,000 BP",6,15,0.2597583532333374,46.397,30.271999999999995
Usatove-Bolšoj Kujalnik (Odessa Oblast),1,"10,000-5,000 BP",4,6,0.2598249316215515,46.52603,30.63042
"Seh-Gabi (Kermanshah, Kangavar)",1,"10,000-5,000 BP",5,10,0.2605215907096863,34.5,47.96
Kartal (Odessa Oblast),1,"10,000-5,000 BP",8,28,0.2607054114341736,45.31667,28.45
"Maryinskaya-5 (Stavropol Krai, Kirovsky municipality)",1,"10,000-5,000 BP",4,5,0.26232507824897766,43.905354,43.521883
"Shah Tepe (Kerman, Arzuiyeh)",1,"10,000-5,000 BP",9,36,0.26559948921203613,28.33,56.87
"Cueva Calero (Matanzas Province, Cardenas)",2,"5,000-2,000 BP",4,5,0.1711655557155609,23.05,-81.317
"Canimar Abajo (Northwestern Cuba, Matanzas)",2,"5,000-2,000 BP",8,25,0.1733292192220688,23.038,-81.497
Rokutsu Shell Midden,2,"5,000-2,000 BP",6,15,0.1861114799976349,35.550000000000004,140.157
Jabuticabeira II (South Coast),2,"5,000-2,000 BP",16,120,0.18935224413871765,-28.58,-48.99
Xiaohe (Xinjiang),2,"5,000-2,000 BP",11,51,0.19141864776611328,40.336400000000005,88.6725
"Naton Beach Site (Guam, Tamuning)",2,"5,000-2,000 BP",27,11,0.19312168657779694,13.519983000000003,144.806559
"Praha-Ďáblice (Prague Region, Prague District)",2,"5,000-2,000 BP",5,10,0.19737257063388824,50.151931,14.493838
San Nicolas Island (California),2,"5,000-2,000 BP",21,25,0.19869348406791687,33.26428,-119.53900000000004
"Las Locas (Jiménez Municipality, Quíbor Valley)",2,"5,000-2,000 BP",8,28,0.2009056806564331,10.03,-69.64
"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",2,"5,000-2,000 BP",9,29,0.20888224244117737,16.497398,-88.90496
Teouma (Efate),2,"5,000-2,000 BP",8,9,0.20901057124137878,-17.786,168.37
Rhirhi (Mustang District),2,"5,000-2,000 BP",4,6,0.2176971733570099,28.97,83.83
"Verkhny-Askiz (Republic of Khakassia, Askizsky District, Verkhny-Askiz Village)",2,"5,000-2,000 BP",8,27,0.22332707047462463,53.156486,90.207811
"Pingliangtai site (Henan province, Huaiyang)",2,"5,000-2,000 BP",4,6,0.22405651211738586,33.7086342,114.922462
"Shamanka-2 (Irkutsk Oblast, Slyudyansky District, Shamanka cape)",2,"5,000-2,000 BP",7,18,0.22443103790283203,51.698333,103.70305600000003
"Ust'-Ida (Irkutsk Oblast, Bokhanskiy District, Kamenka Village)",2,"5,000-2,000 BP",4,6,0.2267712652683258,53.188889,103.368056
"Taldy-2 (Karaganda Region, Qarqaralı district)",2,"5,000-2,000 BP",4,6,0.22868601977825165,49.0981333,75.84315
Zongri (Hainan),2,"5,000-2,000 BP",19,171,0.22922547161579132,35.29999999999999,100.40000000000002
"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",2,"5,000-2,000 BP",6,14,0.230460524559021,53.04452800000001,105.510583
Pukagongma (Yushu),2,"5,000-2,000 BP",5,6,0.2311888337135315,33.5,95.4
Malakula,2,"5,000-2,000 BP",6,5,0.23138631880283356,-16.073881,167.44778599999998
Piyangjiweng (Ngari),2,"5,000-2,000 BP",6,12,0.23225653171539307,31.599999999999998,79.60000000000001
"Ust'-Belaya (Irkutsk Oblast, Usolskiy District, mouth of the Belaya River)",2,"5,000-2,000 BP",8,28,0.23249860107898712,52.916944,103.657222
"Ulaanzuukh (Sükhbaatar Province, Tüvshinshiree District)",2,"5,000-2,000 BP",9,35,0.2338690161705017,46.650964,111.846572
Kyang (Manang District),2,"5,000-2,000 BP",7,21,0.23428718745708466,28.729999999999997,84.27
"Tanjung Pinang (North Moluccas, Morotai)",2,"5,000-2,000 BP",4,6,0.2346697896718979,2.35,128.4
"Ksiaznice-2 (Subcarpathian Province, Mielec County, Przecław)",2,"5,000-2,000 BP",5,10,0.2347748577594757,50.2,21.4
"Grottina dei Covoloni del Broion (Veneto, Vicenza, Berici Hills)",2,"5,000-2,000 BP",4,5,0.2350464016199112,45.467615,11.58982
"Västerbjers (Gotland, Gothem parish)",2,"5,000-2,000 BP",13,55,0.23513482511043549,57.58000000000001,18.699999999999996
Mebrak Tomb (Mustang District),2,"5,000-2,000 BP",12,44,0.2360008955001831,28.860000000000003,83.91999999999999
"Leubingen-2 (Thüringen, Kyffhäuserkreis)",2,"5,000-2,000 BP",5,10,0.23657768964767456,51.190278,11.169722
"Muttenz (Bern, Moutier)",2,"5,000-2,000 BP",5,10,0.236860990524292,47.3122,7.384299999999999
"Lajia site (Qinghai province, Minhe County, Lajia village)",2,"5,000-2,000 BP",6,11,0.2372988909482956,36.508904,101.79648199999998
"Jiaozuoniecun site (Henan province, Jiazuo city)",2,"5,000-2,000 BP",4,6,0.23736988008022308,33.8719844,113.918666
"Koszyce-3 (Lesser Poland Province, Proszowice County, Koszyce)",2,"5,000-2,000 BP",15,105,0.23760287463665009,50.17013699999998,20.579033999999996
"Mygdalia (Achaea, Patras region)",2,"5,000-2,000 BP",7,21,0.23833075165748596,38.186889,21.776528000000003
Dolge njive (Smarjepke Toplice),2,"5,000-2,000 BP",9,34,0.2389306277036667,45.867366,15.279788
"Glazkovo (Irkutsk Oblast, Irkutsk municipality, Lokomotiv (Cyclodrome))",2,"5,000-2,000 BP",4,6,0.23979240655899048,52.286944,104.249167
"Bolshoy-Oleniy-Ostrov (Murmansk Oblast, Alexandrovsk municipality)",2,"5,000-2,000 BP",9,28,0.240950345993042,69.2239,33.4828
"Il'movaya-Pad' (Buryatia, Kyakhtinsky District, Ust'-Kyakhta Village)",2,"5,000-2,000 BP",7,21,0.24102674424648285,50.497414,106.40550299999998
"Planes, Cova d' En Pardo (Valencian community, Alicante, Planes)",2,"5,000-2,000 BP",7,13,0.24111086130142212,38.78317599999999,-0.33999999999999997
"Pikutkowo (Kuyavian-Pomeranian Province, Wrocław County, Brześć Kujawski)",2,"5,000-2,000 BP",4,6,0.24442678689956665,52.62,18.96
Chania (Crete),2,"5,000-2,000 BP",27,298,0.2457284927368164,35.5172563,24.0149291
Landbogården,2,"5,000-2,000 BP",14,35,0.24573925137519836,58.1775,13.434400000000002
"Uybat-5 (Republic of Khakassia, Ust-Abakansky District)",2,"5,000-2,000 BP",6,15,0.24581439793109894,53.70856100000001,90.359808
Heraklion (Crete),2,"5,000-2,000 BP",5,10,0.24690595269203186,35.2394569,24.9883048
"Oberbipp Horgen (Bern, Wangen)",2,"5,000-2,000 BP",9,33,0.24693475663661957,47.262067,7.659834999999999
"Kytmanovo (Altai Krai, Kytmanovsky District, Kytmanovo Village)",2,"5,000-2,000 BP",4,6,0.24759894609451294,53.456,85.447
"Ayituohan (Xinjiang, Aletai Region, Habahe County)",2,"5,000-2,000 BP",4,6,0.2479049414396286,48.2856,86.2708
"Aidonia (Corinthia,Phlious Valley)",2,"5,000-2,000 BP",7,9,0.2479650378227234,37.84082999999999,22.5832
"Tuoganbai (Xinjiang, Aletai Region, Habahe County)",2,"5,000-2,000 BP",6,15,0.24838435649871826,48.06,86.42
"Arroyal I (Castilla y León, Burgos, Alfoz de Quintanadueñas)",2,"5,000-2,000 BP",5,6,0.24863919615745544,42.4,-3.75
"Kalehöyük (Kırşehir, Kaman)",2,"5,000-2,000 BP",7,20,0.24894538521766663,39.34580499999999,33.78813
"Serra Cabriles (Sardinia, Sassari, Sennori)",2,"5,000-2,000 BP",9,36,0.2491244375705719,40.78776088888888,8.593847888888888
"Las Yurdinas II (Basque Country, Álava, Peñacerrada)",2,"5,000-2,000 BP",4,6,0.24940457940101624,42.63,-2.7
"Chaganguole (Chagangole) (Xinjiang, Aletai Region, Qinghe County)",2,"5,000-2,000 BP",11,50,0.24950790405273438,46.480000000000004,90.75
"PP4-Montelirio (Andalusia, Sevilla, Valencina de la Concepción)",2,"5,000-2,000 BP",11,37,0.24964889883995056,37.41092600000001,-6.059
"Lasithi (Crete, Ierapetra, Schinokapsala, Vornospilia)",2,"5,000-2,000 BP",33,497,0.24978673458099365,35.17725,25.4411
Nea Styra (Euboea),2,"5,000-2,000 BP",4,6,0.2498481571674347,38.17975,24.207417
